card_id,set_codigo,numero,nome,tem_imagem
sv10.5w-141,WHT,141,Garbodor,True
sv10.5w-105,WHT,105,Oshawott,True
sv10.5w-112,WHT,112,Vanillish,True
sv10.5w-091,WHT,091,Deerling,True
sv10.5w-096,WHT,096,Tepig,True
sv10.5w-028,WHT,028,Vanillish,True
sv10.5w-119,WHT,119,Woobat,True
sv10.5w-036,WHT,036,Woobat,True
svp-014,SVP,014,Koraidon,True
svp-022,SVP,022,Pelipper,True
svp-041,SVP,041,Paldean Wooper,True
svp-051,SVP,051,Snorlax,True
svp-122,SVP,122,Snorlax,True
svp-173,SVP,173,Eevee,True
svp-189,SVP,189,N's Zorua,True
sv03.5-013,MEW,013,Weedle,True
sv03.5-063,MEW,063,Abra,True
sv03.5-086,MEW,086,Seel,True
sv03.5-166,MEW,166,Bulbasaur,True
