card_id,set_codigo,numero,nome,image_url,label
svp-085,SVP,085,Pikachu with Grey Felt Hat,,0
svp-102,SVP,102,Oddish,,0
svp-175,SVP,175,Espeon ex,,0
svp-176,SVP,176,Umbreon ex,,0
svp-190,SVP,190,Pikachu,,0
svp-191,SVP,191,Sprigatito,,0
svp-192,SVP,192,Fuecoco,,0
svp-196,SVP,196,Charizard ex,,0
svp-199,SVP,199,Zarude,,0
svp-200,SVP,200,Eevee,,0
svp-201,SVP,201,Zebstrika,,0
svp-202,SVP,202,Kangaskhan,,0
svp-203,SVP,203,Team Rocket's Wobbuffet,,0
svp-204,SVP,204,Cynthia's Garchomp ex,,0
svp-205,SVP,205,Team Rocket's Mewtwo ex,,0
svp-208,SVP,208,Victini,,0
svp-209,SVP,209,Thundurus,,0
svp-210,SVP,210,Tornadus,,0
svp-211,SVP,211,Gothitelle,,0
svp-212,SVP,212,Reuniclus,,0
svp-213,SVP,213,Feraligatr,,0
svp-214,SVP,214,Pikachu,,0
svp-215,SVP,215,Toxtricity ex,,0
svp-216,SVP,216,Team Rocket's Mewtwo ex,,0
svp-217,SVP,217,Team Rocket's Nidoking ex,,0
svp-218,SVP,218,Team Rocket's Persian ex,,0
svp-225,SVP,225,Pikachu,,0
svp-500,SVP,500,Terapagos & Friends,,0
