card_id,set_codigo,era,numero,nome,image_url,label
sv07-001,SCR,SV,001,Venusaur ex,https://assets.tcgdex.net/en/sv/sv07/001/high.png,0
sv07-002,SCR,SV,002,Ledyba,https://assets.tcgdex.net/en/sv/sv07/002/high.png,0
sv07-003,SCR,SV,003,Ledian,https://assets.tcgdex.net/en/sv/sv07/003/high.png,0
sv07-004,SCR,SV,004,Celebi,https://assets.tcgdex.net/en/sv/sv07/004/high.png,0
sv07-005,SCR,SV,005,Lileep,https://assets.tcgdex.net/en/sv/sv07/005/high.png,0
sv07-006,SCR,SV,006,Cradily,https://assets.tcgdex.net/en/sv/sv07/006/high.png,0
sv07-007,SCR,SV,007,Carnivine,https://assets.tcgdex.net/en/sv/sv07/007/high.png,0
sv07-008,SCR,SV,008,Mow Rotom,https://assets.tcgdex.net/en/sv/sv07/008/high.png,0
sv07-009,SCR,SV,009,Grubbin,https://assets.tcgdex.net/en/sv/sv07/009/high.png,0
sv07-010,SCR,SV,010,Gossifleur,https://assets.tcgdex.net/en/sv/sv07/010/high.png,0
sv07-011,SCR,SV,011,Eldegoss,https://assets.tcgdex.net/en/sv/sv07/011/high.png,0
sv07-012,SCR,SV,012,Applin,https://assets.tcgdex.net/en/sv/sv07/012/high.png,0
sv07-013,SCR,SV,013,Dipplin,https://assets.tcgdex.net/en/sv/sv07/013/high.png,0
sv07-014,SCR,SV,014,Hydrapple ex,https://assets.tcgdex.net/en/sv/sv07/014/high.png,0
sv07-015,SCR,SV,015,Nymble,https://assets.tcgdex.net/en/sv/sv07/015/high.png,0
sv07-016,SCR,SV,016,Lokix,https://assets.tcgdex.net/en/sv/sv07/016/high.png,0
sv07-017,SCR,SV,017,Toedscool,https://assets.tcgdex.net/en/sv/sv07/017/high.png,0
sv07-018,SCR,SV,018,Toedscruel,https://assets.tcgdex.net/en/sv/sv07/018/high.png,0
sv07-019,SCR,SV,019,Ponyta,https://assets.tcgdex.net/en/sv/sv07/019/high.png,0
sv07-020,SCR,SV,020,Rapidash,https://assets.tcgdex.net/en/sv/sv07/020/high.png,0
sv07-021,SCR,SV,021,Pansear,https://assets.tcgdex.net/en/sv/sv07/021/high.png,0
sv07-022,SCR,SV,022,Reshiram,https://assets.tcgdex.net/en/sv/sv07/022/high.png,0
sv07-023,SCR,SV,023,Salandit,https://assets.tcgdex.net/en/sv/sv07/023/high.png,0
sv07-024,SCR,SV,024,Salazzle,https://assets.tcgdex.net/en/sv/sv07/024/high.png,0
sv07-025,SCR,SV,025,Turtonator,https://assets.tcgdex.net/en/sv/sv07/025/high.png,0
sv07-026,SCR,SV,026,Scorbunny,https://assets.tcgdex.net/en/sv/sv07/026/high.png,0
sv07-027,SCR,SV,027,Raboot,https://assets.tcgdex.net/en/sv/sv07/027/high.png,0
sv07-028,SCR,SV,028,Cinderace ex,https://assets.tcgdex.net/en/sv/sv07/028/high.png,0
sv07-029,SCR,SV,029,Charcadet,https://assets.tcgdex.net/en/sv/sv07/029/high.png,0
sv07-030,SCR,SV,030,Blastoise ex,https://assets.tcgdex.net/en/sv/sv07/030/high.png,0
sv07-031,SCR,SV,031,Lapras,https://assets.tcgdex.net/en/sv/sv07/031/high.png,0
sv07-032,SCR,SV,032,Lapras ex,https://assets.tcgdex.net/en/sv/sv07/032/high.png,0
sv07-033,SCR,SV,033,Marill,https://assets.tcgdex.net/en/sv/sv07/033/high.png,0
sv07-034,SCR,SV,034,Azumarill,https://assets.tcgdex.net/en/sv/sv07/034/high.png,0
sv07-035,SCR,SV,035,Finneon,https://assets.tcgdex.net/en/sv/sv07/035/high.png,0
sv07-036,SCR,SV,036,Lumineon,https://assets.tcgdex.net/en/sv/sv07/036/high.png,0
sv07-037,SCR,SV,037,Tirtouga,https://assets.tcgdex.net/en/sv/sv07/037/high.png,0
sv07-038,SCR,SV,038,Carracosta,https://assets.tcgdex.net/en/sv/sv07/038/high.png,0
sv07-039,SCR,SV,039,Froakie,https://assets.tcgdex.net/en/sv/sv07/039/high.png,0
sv07-040,SCR,SV,040,Frogadier,https://assets.tcgdex.net/en/sv/sv07/040/high.png,0
sv07-041,SCR,SV,041,Greninja ex,https://assets.tcgdex.net/en/sv/sv07/041/high.png,0
sv07-042,SCR,SV,042,Crabominable,https://assets.tcgdex.net/en/sv/sv07/042/high.png,0
sv07-043,SCR,SV,043,Chewtle,https://assets.tcgdex.net/en/sv/sv07/043/high.png,0
sv07-044,SCR,SV,044,Drednaw,https://assets.tcgdex.net/en/sv/sv07/044/high.png,0
sv07-045,SCR,SV,045,Veluza,https://assets.tcgdex.net/en/sv/sv07/045/high.png,0
sv07-046,SCR,SV,046,Electabuzz,https://assets.tcgdex.net/en/sv/sv07/046/high.png,0
sv07-047,SCR,SV,047,Electivire,https://assets.tcgdex.net/en/sv/sv07/047/high.png,0
sv07-048,SCR,SV,048,Chinchou,https://assets.tcgdex.net/en/sv/sv07/048/high.png,0
sv07-049,SCR,SV,049,Lanturn,https://assets.tcgdex.net/en/sv/sv07/049/high.png,0
sv07-050,SCR,SV,050,Joltik,https://assets.tcgdex.net/en/sv/sv07/050/high.png,0
sv07-051,SCR,SV,051,Galvantula ex,https://assets.tcgdex.net/en/sv/sv07/051/high.png,0
sv07-052,SCR,SV,052,Charjabug,https://assets.tcgdex.net/en/sv/sv07/052/high.png,0
sv07-053,SCR,SV,053,Vikavolt,https://assets.tcgdex.net/en/sv/sv07/053/high.png,0
sv07-054,SCR,SV,054,Togedemaru,https://assets.tcgdex.net/en/sv/sv07/054/high.png,0
sv07-055,SCR,SV,055,Zeraora,https://assets.tcgdex.net/en/sv/sv07/055/high.png,0
sv07-056,SCR,SV,056,Pawmi,https://assets.tcgdex.net/en/sv/sv07/056/high.png,0
sv07-057,SCR,SV,057,Slowpoke,https://assets.tcgdex.net/en/sv/sv07/057/high.png,0
