card_id,set_codigo,era,numero,nome,image_url,label,rarity
sv01-001,SVI,SV,001,Pineco,https://assets.tcgdex.net/en/sv/sv01/001/high.png,0,Common
sv01-002,SVI,SV,002,Heracross,https://assets.tcgdex.net/en/sv/sv01/002/high.png,0,Uncommon
sv01-003,SVI,SV,003,Shroomish,https://assets.tcgdex.net/en/sv/sv01/003/high.png,0,Common
sv01-004,SVI,SV,004,Breloom,https://assets.tcgdex.net/en/sv/sv01/004/high.png,0,Uncommon
sv01-005,SVI,SV,005,Cacnea,https://assets.tcgdex.net/en/sv/sv01/005/high.png,0,Common
sv01-006,SVI,SV,006,Cacturne,https://assets.tcgdex.net/en/sv/sv01/006/high.png,0,Uncommon
sv01-007,SVI,SV,007,Tropius,https://assets.tcgdex.net/en/sv/sv01/007/high.png,0,Common
sv01-008,SVI,SV,008,Scatterbug,https://assets.tcgdex.net/en/sv/sv01/008/high.png,0,Common
sv01-009,SVI,SV,009,Spewpa,https://assets.tcgdex.net/en/sv/sv01/009/high.png,0,Common
sv01-010,SVI,SV,010,Vivillon,https://assets.tcgdex.net/en/sv/sv01/010/high.png,0,Uncommon
sv01-011,SVI,SV,011,Skiddo,https://assets.tcgdex.net/en/sv/sv01/011/high.png,0,Common
sv01-012,SVI,SV,012,Gogoat,https://assets.tcgdex.net/en/sv/sv01/012/high.png,0,Common
sv01-013,SVI,SV,013,Sprigatito,https://assets.tcgdex.net/en/sv/sv01/013/high.png,0,Common
sv01-014,SVI,SV,014,Floragato,https://assets.tcgdex.net/en/sv/sv01/014/high.png,0,Uncommon
sv01-015,SVI,SV,015,Meowscarada,https://assets.tcgdex.net/en/sv/sv01/015/high.png,0,Rare
sv01-016,SVI,SV,016,Tarountula,https://assets.tcgdex.net/en/sv/sv01/016/high.png,0,Common
sv01-017,SVI,SV,017,Tarountula,https://assets.tcgdex.net/en/sv/sv01/017/high.png,0,Common
sv01-018,SVI,SV,018,Tarountula,https://assets.tcgdex.net/en/sv/sv01/018/high.png,0,Common
sv01-019,SVI,SV,019,Spidops ex,https://assets.tcgdex.net/en/sv/sv01/019/high.png,0,Double rare
sv01-020,SVI,SV,020,Smoliv,https://assets.tcgdex.net/en/sv/sv01/020/high.png,0,Common
sv01-021,SVI,SV,021,Smoliv,https://assets.tcgdex.net/en/sv/sv01/021/high.png,0,Common
sv01-022,SVI,SV,022,Dolliv,https://assets.tcgdex.net/en/sv/sv01/022/high.png,0,Common
sv01-023,SVI,SV,023,Arboliva,https://assets.tcgdex.net/en/sv/sv01/023/high.png,0,Rare
sv01-024,SVI,SV,024,Toedscool,https://assets.tcgdex.net/en/sv/sv01/024/high.png,0,Common
sv01-025,SVI,SV,025,Toedscool,https://assets.tcgdex.net/en/sv/sv01/025/high.png,0,Common
sv01-026,SVI,SV,026,Toedscruel,https://assets.tcgdex.net/en/sv/sv01/026/high.png,0,Uncommon
sv01-027,SVI,SV,027,Capsakid,https://assets.tcgdex.net/en/sv/sv01/027/high.png,0,Common
sv01-028,SVI,SV,028,Capsakid,https://assets.tcgdex.net/en/sv/sv01/028/high.png,0,Common
sv01-029,SVI,SV,029,Scovillain,https://assets.tcgdex.net/en/sv/sv01/029/high.png,0,Uncommon
sv01-030,SVI,SV,030,Growlithe,https://assets.tcgdex.net/en/sv/sv01/030/high.png,0,Common
sv01-031,SVI,SV,031,Growlithe,https://assets.tcgdex.net/en/sv/sv01/031/high.png,0,Common
sv01-032,SVI,SV,032,Arcanine ex,https://assets.tcgdex.net/en/sv/sv01/032/high.png,0,Double rare
sv01-033,SVI,SV,033,Houndour,https://assets.tcgdex.net/en/sv/sv01/033/high.png,0,Common
sv01-034,SVI,SV,034,Houndoom,https://assets.tcgdex.net/en/sv/sv01/034/high.png,0,Common
sv01-035,SVI,SV,035,Torkoal,https://assets.tcgdex.net/en/sv/sv01/035/high.png,0,Uncommon
sv01-036,SVI,SV,036,Fuecoco,https://assets.tcgdex.net/en/sv/sv01/036/high.png,0,Common
sv01-037,SVI,SV,037,Crocalor,https://assets.tcgdex.net/en/sv/sv01/037/high.png,0,Uncommon
sv01-038,SVI,SV,038,Skeledirge,https://assets.tcgdex.net/en/sv/sv01/038/high.png,0,Rare
sv01-039,SVI,SV,039,Charcadet,https://assets.tcgdex.net/en/sv/sv01/039/high.png,0,Common
sv01-040,SVI,SV,040,Charcadet,https://assets.tcgdex.net/en/sv/sv01/040/high.png,0,Common
sv01-041,SVI,SV,041,Armarouge,https://assets.tcgdex.net/en/sv/sv01/041/high.png,0,Rare
sv01-042,SVI,SV,042,Slowpoke,https://assets.tcgdex.net/en/sv/sv01/042/high.png,0,Common
sv01-043,SVI,SV,043,Slowbro,https://assets.tcgdex.net/en/sv/sv01/043/high.png,0,Rare
sv01-044,SVI,SV,044,Magikarp,https://assets.tcgdex.net/en/sv/sv01/044/high.png,0,Common
sv01-045,SVI,SV,045,Gyarados ex,https://assets.tcgdex.net/en/sv/sv01/045/high.png,0,Double rare
sv01-046,SVI,SV,046,Buizel,https://assets.tcgdex.net/en/sv/sv01/046/high.png,0,Common
sv01-047,SVI,SV,047,Floatzel,https://assets.tcgdex.net/en/sv/sv01/047/high.png,0,Uncommon
sv01-048,SVI,SV,048,Alomomola,https://assets.tcgdex.net/en/sv/sv01/048/high.png,0,Common
sv01-049,SVI,SV,049,Clauncher,https://assets.tcgdex.net/en/sv/sv01/049/high.png,0,Common
sv01-050,SVI,SV,050,Clawitzer,https://assets.tcgdex.net/en/sv/sv01/050/high.png,0,Common
sv01-051,SVI,SV,051,Bruxish,https://assets.tcgdex.net/en/sv/sv01/051/high.png,0,Common
sv01-052,SVI,SV,052,Quaxly,https://assets.tcgdex.net/en/sv/sv01/052/high.png,0,Common
sv01-053,SVI,SV,053,Quaxwell,https://assets.tcgdex.net/en/sv/sv01/053/high.png,0,Uncommon
sv01-054,SVI,SV,054,Quaquaval,https://assets.tcgdex.net/en/sv/sv01/054/high.png,0,Rare
sv01-055,SVI,SV,055,Wiglett,https://assets.tcgdex.net/en/sv/sv01/055/high.png,0,Common
sv01-056,SVI,SV,056,Wiglett,https://assets.tcgdex.net/en/sv/sv01/056/high.png,0,Common
sv01-057,SVI,SV,057,Wugtrio,https://assets.tcgdex.net/en/sv/sv01/057/high.png,0,Uncommon
sv01-058,SVI,SV,058,Cetoddle,https://assets.tcgdex.net/en/sv/sv01/058/high.png,0,Common
sv01-059,SVI,SV,059,Cetoddle,https://assets.tcgdex.net/en/sv/sv01/059/high.png,0,Common
sv01-060,SVI,SV,060,Cetitan,https://assets.tcgdex.net/en/sv/sv01/060/high.png,0,Uncommon
sv01-061,SVI,SV,061,Dondozo,https://assets.tcgdex.net/en/sv/sv01/061/high.png,0,Rare
sv01-062,SVI,SV,062,Tatsugiri,https://assets.tcgdex.net/en/sv/sv01/062/high.png,0,Uncommon
sv01-063,SVI,SV,063,Magnemite,https://assets.tcgdex.net/en/sv/sv01/063/high.png,0,Common
sv01-064,SVI,SV,064,Magneton,https://assets.tcgdex.net/en/sv/sv01/064/high.png,0,Common
sv01-065,SVI,SV,065,Magnezone ex,https://assets.tcgdex.net/en/sv/sv01/065/high.png,0,Double rare
sv01-066,SVI,SV,066,Mareep,https://assets.tcgdex.net/en/sv/sv01/066/high.png,0,Common
sv01-067,SVI,SV,067,Flaaffy,https://assets.tcgdex.net/en/sv/sv01/067/high.png,0,Uncommon
sv01-068,SVI,SV,068,Pachirisu,https://assets.tcgdex.net/en/sv/sv01/068/high.png,0,Uncommon
sv01-069,SVI,SV,069,Rotom,https://assets.tcgdex.net/en/sv/sv01/069/high.png,0,Common
sv01-070,SVI,SV,070,Rotom,https://assets.tcgdex.net/en/sv/sv01/070/high.png,0,Common
sv01-071,SVI,SV,071,Toxel,https://assets.tcgdex.net/en/sv/sv01/071/high.png,0,Common
sv01-072,SVI,SV,072,Toxtricity,https://assets.tcgdex.net/en/sv/sv01/072/high.png,0,Uncommon
sv01-073,SVI,SV,073,Pawmi,https://assets.tcgdex.net/en/sv/sv01/073/high.png,0,Common
sv01-074,SVI,SV,074,Pawmi,https://assets.tcgdex.net/en/sv/sv01/074/high.png,0,Common
sv01-075,SVI,SV,075,Pawmo,https://assets.tcgdex.net/en/sv/sv01/075/high.png,0,Common
sv01-076,SVI,SV,076,Pawmot,https://assets.tcgdex.net/en/sv/sv01/076/high.png,0,Rare
sv01-077,SVI,SV,077,Wattrel,https://assets.tcgdex.net/en/sv/sv01/077/high.png,0,Common
sv01-078,SVI,SV,078,Wattrel,https://assets.tcgdex.net/en/sv/sv01/078/high.png,0,Common
sv01-079,SVI,SV,079,Kilowattrel,https://assets.tcgdex.net/en/sv/sv01/079/high.png,0,Uncommon
