card_id,y,prob
sv02-221,1,0.9050622
sv05-172,0,0.8964403
sv10.5w-118,0,0.8923887
sv03.5-175,0,0.8829174
sv07-143,1,0.86555296
sv10.5w-091,1,0.8462295
sv10.5w-124,0,0.8429474
sv10.5w-052,0,0.8423271
sv07-153,0,0.8398175
sv07-154,1,0.83380884
sv02-025,0,0.8336673
sv02-204,0,0.82905704
sv10.5w-138,0,0.82761544
sv10.5w-152,0,0.825381
sv10.5w-087,0,0.82252955
sv10.5w-093,0,0.8215778
svp-051,1,0.8185147
sv07-091,1,0.8180744
sv07-126,0,0.81788856
sv02-167,0,0.8167134
sv03.5-172,0,0.8136866
sv10.5w-101,0,0.80563575
sv03.5-166,1,0.80259734
sv07-152,0,0.79528886
sv07-148,0,0.78414774
sv05-169,0,0.73933226
sv10.5w-001,0,0.7378683
swsh5-24,0,0.7347962
sv05-173,1,0.7296007
sv05-167,1,0.7272666
sv07-146,0,0.72576064
sv02-158,0,0.7246665
sv03.5-050,0,0.7189814
sv10.5w-108,0,0.7174813
sv02-208,1,0.7172353
sv10.5w-133,0,0.70804113
sv07-113,0,0.7055621
sv10.5w-006,0,0.70429623
svp-044,0,0.6999732
sv03.5-102,0,0.69721824
sv07-017,0,0.69586444
sv02-229,1,0.6933685
sv05-184,0,0.68683976
sv10.5w-021,0,0.68585384
sv02-198,0,0.68432826
sv07-155,0,0.68420815
sv07-145,0,0.6793347
sv02-166,0,0.6681212
sv03.5-072,0,0.6678314
sv02-195,0,0.66566736
sv07-033,0,0.66349494
sv10.5w-144,0,0.6552556
sv02-044,0,0.6531866
sv10.5w-114,0,0.65301883
svp-088,0,0.65174866
sv10.5w-111,0,0.650664
sv10.5w-119,1,0.6485443
sv10.5w-105,1,0.6456279
swsh5-111,0,0.6432248
sv03.5-043,0,0.63907987
sv02-168,0,0.63745064
svp-115,0,0.6374211
sv02-226,1,0.635863
sv05-164,0,0.63510567
sv02-023,0,0.63456345
swsh5-81,0,0.6318373
svp-122,1,0.6315598
sv02-156,1,0.63082147
sv03.5-013,1,0.62500125
svp-037,0,0.6184291
sv10.5w-140,0,0.61533856
sv02-228,0,0.6149667
sv10.5w-154,0,0.6137904
sv10.5w-122,0,0.61334324
sv02-216,0,0.6116748
sv10.5w-113,0,0.6090684
sv10.5w-120,0,0.6089968
sv03.5-167,0,0.60894924
sv10.5w-139,0,0.6089318
sv02-128,0,0.608875
sv02-017,1,0.60880536
sv07-039,0,0.59969175
sv10.5w-059,0,0.5918011
svp-014,1,0.58773404
sv05-181,0,0.5873354
swsh5-101,0,0.5820508
svp-069,0,0.58114773
sv03.5-086,1,0.5778691
