card_id,set_codigo,numero,nome,score_olhos_fechados,score_dormindo
svp-001,SVP,1,Sprigatito,0.8336478471755981,0.2880556285381317
svp-002,SVP,2,Fuecoco,0.8998661637306213,0.9341570734977722
svp-003,SVP,3,Quaxly,0.6534708142280579,0.14464181661605835
svp-004,SVP,4,Mimikyu ex,0.2713395655155182,0.1418655514717102
svp-005,SVP,5,Quaquaval,0.6366910934448242,0.07648713886737823
svp-006,SVP,6,Pawmot,0.7703133225440979,0.5386723279953003
svp-007,SVP,7,Hawlucha,0.39352840185165405,0.051672935485839844
svp-008,SVP,8,Revavroom,0.6644425392150879,0.01836891658604145
svp-009,SVP,9,Spidops,0.5664116144180298,0.21568289399147034
svp-010,SVP,10,Espathra,0.781459629535675,0.36654722690582275
svp-011,SVP,11,Arcanine,0.4676702916622162,0.23986537754535675
svp-012,SVP,12,Dondozo,0.26625293493270874,0.2150263637304306
svp-013,SVP,13,Miraidon,0.4686927795410156,0.390354186296463
svp-014,SVP,14,Koraidon,0.8348152041435242,0.671044647693634
svp-015,SVP,15,Flaaffy,0.7759524583816528,0.2636071741580963
svp-016,SVP,16,Ampharos ex,0.6467731595039368,0.6842936873435974
svp-017,SVP,17,Lucario ex,0.5262548327445984,0.12032773345708847
svp-018,SVP,18,Cyclizar ex,0.4084385335445404,0.06536928564310074
svp-019,SVP,19,Baxcalibur,0.5834574103355408,0.7960587739944458
svp-020,SVP,20,Tinkaton,0.4254085123538971,0.30038750171661377
svp-021,SVP,21,Murkrow,0.63725745677948,0.23968495428562164
svp-022,SVP,22,Pelipper,0.514768123626709,0.6285009384155273
svp-023,SVP,23,Smoliv,0.8007796406745911,0.2783517837524414
svp-024,SVP,24,Growlithe,0.4535053074359894,0.10023447126150131
svp-025,SVP,25,Tinkatink,0.6133378744125366,0.15356901288032532
svp-026,SVP,26,Varoom,0.5678907036781311,0.058006610721349716
svp-027,SVP,27,Pikachu,0.6446822285652161,0.6554122567176819
svp-028,SVP,28,Miraidon ex,0.27497798204421997,0.05434028431773186
svp-029,SVP,29,Koraidon ex,0.4227345287799835,0.4851018190383911
svp-030,SVP,30,Chien-Pao ex,0.2685650885105133,0.060702625662088394
svp-031,SVP,31,Tinkaton ex,0.40516093373298645,0.2371126115322113
svp-032,SVP,32,Annihilape ex,0.5217205286026001,0.009970137849450111
svp-033,SVP,33,Meowscarada ex,0.16983464360237122,0.30783411860466003
svp-034,SVP,34,Skeledirge ex,0.7574833631515503,0.21181108057498932
svp-035,SVP,35,Quaquaval ex,0.781426727771759,0.13891495764255524
svp-036,SVP,36,Palafin,0.6888139843940735,0.26962825655937195
svp-037,SVP,37,Cleffa,0.8839199542999268,0.39636796712875366
svp-038,SVP,38,Togekiss,0.6836658120155334,0.1571401208639145
svp-039,SVP,39,Mawile,0.637708842754364,0.6247568726539612
svp-040,SVP,40,Pawmi,0.7514077425003052,0.7325682640075684
svp-041,SVP,41,Paldean Wooper,0.7242696285247803,0.18712571263313293
svp-042,SVP,42,Houndstone,0.47323116660118103,0.26400092244148254
svp-043,SVP,43,Eevee,0.7291975021362305,0.3391073942184448
svp-044,SVP,44,Charmander,0.18593449890613556,0.3551517426967621
svp-046,SVP,46,Bulbasaur,0.6459722518920898,0.2637075185775757
svp-047,SVP,47,Charmander,0.5364504456520081,0.18072006106376648
svp-048,SVP,48,Squirtle,0.6593404412269592,0.055668823421001434
svp-049,SVP,49,Zapdos ex,0.7556341886520386,0.5569126605987549
svp-050,SVP,50,Alakazam ex,0.44134193658828735,0.24521207809448242
svp-051,SVP,51,Snorlax,0.940760612487793,0.9229782819747925
svp-052,SVP,52,Mewtwo,0.06190788000822067,0.11769883334636688
svp-053,SVP,53,Mew ex,0.6748637557029724,0.4865064024925232
svp-054,SVP,54,Greninja ex,0.2591487169265747,0.4370105266571045
svp-055,SVP,55,Kangaskhan ex,0.752850353717804,0.3919394612312317
svp-056,SVP,56,Charizard ex,0.2668544054031372,0.10683755576610565
svp-057,SVP,57,Chi-Yu,0.058997366577386856,0.07816828042268753
svp-058,SVP,58,Iron Bundle,0.6021658182144165,0.3571356236934662
svp-059,SVP,59,Xatu,0.573485255241394,0.36283427476882935
svp-060,SVP,60,Aegislash,0.36829832196235657,0.1669442057609558
svp-061,SVP,61,Pineco,0.5747369527816772,0.39249053597450256
svp-062,SVP,62,Sinistea,0.7368131875991821,0.11103601008653641
svp-063,SVP,63,Cetitan,0.6663526296615601,0.06168825179338455
svp-064,SVP,64,Arctibax,0.4443919360637665,0.2727563977241516
svp-065,SVP,65,Scream Tail,0.5172213315963745,0.36602699756622314
svp-066,SVP,66,Iron Bundle,0.2560991048812866,0.2597753703594208
svp-067,SVP,67,Roaring Moon ex,0.6056860685348511,0.29603180289268494
svp-068,SVP,68,Iron Valiant ex,0.3560555875301361,0.10319570451974869
svp-069,SVP,69,Fidough,0.8792286515235901,0.7320201396942139
svp-070,SVP,70,Greavard,0.9424068331718445,0.7199962139129639
svp-071,SVP,71,Maschiff,0.8654236793518066,0.09457051008939743
svp-072,SVP,72,Great Tusk ex,0.6128782033920288,0.5020322799682617
svp-073,SVP,73,Iron Treads ex,0.32048889994621277,0.31695204973220825
svp-074,SVP,74,Charizard ex,0.2806830108165741,0.03911031782627106
